居住地,111年10月,111年9月,111年8月,111年7月,111年6月,111年5月,111年4月,111年3月,111年2月,111年1月,110年12月,110年11月,110年10月,110年9月,110年8月,110年7月,110年6月,110年5月,110年4月,110年3月,110年1月,110年2月,109年12月,109年11月,109年10月,109年9月,109年8月,109年7月,109年6月,109年5月,109年4月,109年3月,109年2月,109年1月,108年12月,108年11月,108年10月,108年9月
中東 Middle East,446.0,272.0,335.0,213.0,115.0,81.0,60.0,100.0,58.0,33,40,59,79,71,75,34,20,48.0,97,62,67.0,44.0,64.0,70,76,93,57,44,21,6,9,166,637,1494,2160,2201,2361,2024
亞洲其他地區 Others,459.0,409.0,247.0,135.0,66.0,93.0,78.0,112.0,61.0,23,31,91,132,53,62,9,4,16.0,78,75,75.0,52.0,53.0,58,69,93,57,29,24,2,10,234,561,797,2014,1857,1833,2182
亞洲合計 Total,70267.0,54929.0,52810.0,38130.0,30200.0,27286.0,25529.0,16364.0,7678.0,4399,7063,10427,10727,8559,4811,3064,1570,8286.0,14626,15406,10987.0,10470.0,18576.0,17456,15525,20115,15266,9301,5826,2424,2094,63359,312578,701467,1005246,864737,817610,704612
俄羅斯 Russian Federation,178.0,242.0,198.0,152.0,121.0,88.0,94.0,74.0,61.0,28,32,27,82,84,69,37,25,52.0,69,92,79.0,76.0,74.0,119,104,72,92,16,12,8,1,338,706,1397,1367,1718,1609,1538
加拿大 Canada,1670.0,716.0,691.0,660.0,310.0,199.0,197.0,136.0,142.0,144,125,110,130,89,112,65,22,65.0,133,91,159.0,77.0,154.0,195,152,145,137,119,87,53,27,1613,4775,11400,14465,14024,12126,8479
南非 S. Africa,147.0,131.0,311.0,215.0,75.0,96.0,78.0,59.0,77.0,32,15,28,44,47,38,15,12,24.0,40,41,26.0,25.0,43.0,47,52,33,36,15,13,8,0,70,470,471,620,341,465,390
印尼 Indonesia,19.0,15.0,16.0,7.0,6.0,3.0,6.0,4.0,4.0,4,5,4,13,2,4,2,1,1.0,6,3,13.0,6.0,12.0,10,8,5,2,6,6,0,9,14,31,39,43,30,30,33
印度 India,1082.0,1214.0,905.0,758.0,365.0,456.0,359.0,377.0,301.0,119,222,296,211,126,117,37,27,63.0,209,340,127.0,155.0,187.0,192,185,133,79,68,18,30,11,706,2184,2813,3289,3638,3168,3668
墨西哥 Mexico,113.0,69.0,62.0,83.0,30.0,31.0,20.0,23.0,29.0,21,2,28,23,12,22,5,1,20.0,30,8,15.0,15.0,9.0,12,27,29,15,12,6,5,8,45,130,302,462,316,363,296
大洋洲其他地區 Others,84.0,76.0,72.0,37.0,37.0,13.0,20.0,49.0,13.0,18,41,69,38,83,92,2,44,10.0,37,140,31.0,44.0,31.0,74,44,57,45,16,14,2,5,60,124,135,253,260,315,308
大洋洲合計 Total,1660.0,794.0,501.0,440.0,242.0,232.0,204.0,173.0,114.0,128,153,133,105,146,136,39,57,62.0,100,225,106.0,96.0,116.0,142,142,141,113,86,59,25,19,1301,3911,16551,20650,10919,11826,9786
大陸 Mainland China,2461.0,2633.0,2305.0,1813.0,974.0,707.0,764.0,1182.0,1380.0,1077,1380,1245,1605,2186,1147,518,283,677.0,958,1281,1421.0,566.0,1188.0,1201,1810,4590,1393,908,767,581,476,1511,5540,91085,103791,96933,114852,116037
奧地利 Austria,227.0,79.0,132.0,99.0,24.0,25.0,13.0,30.0,22.0,21,14,24,30,20,36,17,4,12.0,18,27,29.0,17.0,25.0,36,24,36,32,15,12,7,2,186,410,837,810,905,896,707
