居住地,合計,業務,觀光,探親,會議,求學,展覽,醫療,其他,時間
總計,867540.0,61572.0,604925.0,38636.0,3888.0,3474.0,854.0,2903.0,151288.0,108/01
總計,956000.0,41780.0,650417.0,39322.0,2515.0,12556.0,591.0,2421.0,206398.0,108/02
總計,1079354.0,76840.0,789175.0,39408.0,7339.0,5263.0,3075.0,3475.0,154779.0,108/03
總計,1101223.0,58564.0,817390.0,40158.0,4979.0,6314.0,1248.0,3544.0,169026.0,108/04
總計,1039607.0,68436.0,742788.0,37854.0,7779.0,5142.0,3618.0,3806.0,170184.0,108/05
總計,932505.0,61538.0,665755.0,43420.0,5735.0,6221.0,1567.0,3409.0,144860.0,108/06
總計,988628.0,61677.0,693315.0,43521.0,5534.0,5113.0,751.0,4018.0,174699.0,108/07
總計,1030792.0,53354.0,752945.0,36573.0,5441.0,8679.0,1019.0,4501.0,168280.0,108/08
總計,794209.0,64388.0,521949.0,30389.0,7413.0,11950.0,1349.0,5441.0,151330.0,108/09
總計,938982.0,69215.0,659340.0,35838.0,9256.0,5336.0,1732.0,6774.0,151491.0,108/10
總計,990224.0,70621.0,710252.0,38966.0,10310.0,5718.0,1350.0,6410.0,146597.0,108/11
總計,1143038.0,58026.0,835246.0,54031.0,6098.0,4861.0,1162.0,9234.0,174380.0,108/12
