居住地,合計,業務,觀光,探親,會議,求學,展覽,醫療,其他,時間
亞洲合計 Total,10727.0,334.0,3.0,296.0,6.0,1952.0,5.0,26.0,8105.0,110/10
美洲合計 Total,1440.0,149.0,1.0,118.0,1.0,91.0,0.0,0.0,1080.0,110/10
歐洲合計 Total,1668.0,280.0,3.0,64.0,1.0,88.0,0.0,1.0,1231.0,110/10
大洋洲合計 Total,105.0,5.0,0.0,7.0,0.0,3.0,0.0,25.0,65.0,110/10
非洲合計 Total,122.0,7.0,0.0,2.0,0.0,5.0,0.0,0.0,108.0,110/10
亞洲合計 Total,8559.0,257.0,1.0,91.0,1.0,3032.0,2.0,13.0,5162.0,110/09
美洲合計 Total,1371.0,59.0,0.0,60.0,1.0,99.0,0.0,3.0,1149.0,110/09
歐洲合計 Total,1943.0,352.0,2.0,29.0,0.0,355.0,1.0,5.0,1199.0,110/09
大洋洲合計 Total,146.0,7.0,0.0,9.0,0.0,9.0,0.0,38.0,83.0,110/09
非洲合計 Total,126.0,14.0,0.0,1.0,0.0,4.0,0.0,1.0,106.0,110/09
亞洲合計 Total,3064.0,185.0,0.0,32.0,0.0,3.0,1.0,17.0,2826.0,110/07
美洲合計 Total,1363.0,33.0,0.0,20.0,0.0,3.0,0.0,0.0,1307.0,110/07
歐洲合計 Total,913.0,73.0,0.0,13.0,0.0,0.0,1.0,2.0,824.0,110/07
大洋洲合計 Total,39.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,110/07
非洲合計 Total,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,110/07
亞洲合計 Total,16364.0,852.0,5.0,397.0,7.0,648.0,4.0,61.0,14390.0,111/03
美洲合計 Total,1436.0,192.0,2.0,246.0,16.0,116.0,2.0,5.0,857.0,111/03
歐洲合計 Total,1900.0,544.0,2.0,115.0,8.0,149.0,1.0,4.0,1077.0,111/03
大洋洲合計 Total,173.0,14.0,0.0,21.0,3.0,3.0,2.0,28.0,102.0,111/03
非洲合計 Total,136.0,9.0,0.0,6.0,0.0,10.0,0.0,0.0,111.0,111/03
亞洲合計 Total,7678.0,479.0,5.0,299.0,0.0,337.0,0.0,56.0,6502.0,111/02
美洲合計 Total,1266.0,110.0,0.0,151.0,1.0,56.0,0.0,0.0,948.0,111/02
歐洲合計 Total,1523.0,308.0,1.0,80.0,2.0,39.0,0.0,0.0,1093.0,111/02
大洋洲合計 Total,114.0,3.0,0.0,14.0,0.0,4.0,0.0,9.0,84.0,111/02
非洲合計 Total,136.0,2.0,0.0,9.0,0.0,3.0,0.0,0.0,122.0,111/02
亞洲合計 Total,25529.0,1363.0,6.0,503.0,8.0,198.0,2.0,75.0,23374.0,111/04
美洲合計 Total,1546.0,351.0,3.0,243.0,4.0,29.0,0.0,3.0,913.0,111/04
歐洲合計 Total,2293.0,756.0,3.0,143.0,0.0,76.0,3.0,2.0,1310.0,111/04
大洋洲合計 Total,204.0,19.0,1.0,41.0,0.0,3.0,0.0,13.0,127.0,111/04
非洲合計 Total,170.0,26.0,1.0,4.0,3.0,11.0,0.0,1.0,124.0,111/04
亞洲合計 Total,4399.0,280.0,0.0,276.0,1.0,6.0,0.0,26.0,3810.0,111/01
美洲合計 Total,1305.0,108.0,1.0,182.0,0.0,5.0,0.0,0.0,1009.0,111/01
歐洲合計 Total,1601.0,245.0,0.0,117.0,0.0,0.0,1.0,2.0,1236.0,111/01
大洋洲合計 Total,128.0,7.0,0.0,13.0,0.0,0.0,0.0,9.0,99.0,111/01
非洲合計 Total,59.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,52.0,111/01
亞洲合計 Total,7063.0,456.0,8.0,373.0,2.0,65.0,0.0,29.0,6130.0,110/12
美洲合計 Total,1300.0,56.0,4.0,248.0,2.0,45.0,0.0,2.0,943.0,110/12
歐洲合計 Total,1102.0,155.0,1.0,147.0,42.0,5.0,0.0,1.0,751.0,110/12
大洋洲合計 Total,153.0,4.0,0.0,22.0,0.0,0.0,0.0,30.0,97.0,110/12
非洲合計 Total,52.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,49.0,110/12
亞洲合計 Total,10427.0,635.0,4.0,404.0,1.0,329.0,3.0,53.0,8998.0,110/11
美洲合計 Total,1247.0,92.0,1.0,206.0,6.0,72.0,1.0,1.0,868.0,110/11
歐洲合計 Total,1341.0,359.0,0.0,96.0,0.0,86.0,0.0,0.0,800.0,110/11
大洋洲合計 Total,133.0,5.0,0.0,11.0,0.0,2.0,0.0,16.0,99.0,110/11
非洲合計 Total,97.0,7.0,0.0,2.0,0.0,5.0,0.0,0.0,83.0,110/11
亞洲合計 Total,14626.0,981.0,19.0,532.0,11.0,190.0,2.0,74.0,12817.0,110/04
美洲合計 Total,1216.0,243.0,6.0,303.0,3.0,25.0,1.0,1.0,634.0,110/04
歐洲合計 Total,1730.0,653.0,10.0,107.0,0.0,14.0,0.0,2.0,944.0,110/04
大洋洲合計 Total,100.0,14.0,1.0,15.0,0.0,4.0,0.0,18.0,48.0,110/04
非洲合計 Total,116.0,14.0,0.0,6.0,0.0,9.0,0.0,0.0,87.0,110/04
亞洲合計 Total,1570.0,28.0,1.0,8.0,0.0,0.0,0.0,15.0,1518.0,110/06
美洲合計 Total,515.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,502.0,110/06
歐洲合計 Total,540.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,531.0,110/06
大洋洲合計 Total,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,110/06
非洲合計 Total,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,110/06
亞洲合計 Total,8286.0,571.0,11.0,282.0,2.0,75.0,0.0,48.0,7297.0,110/05
美洲合計 Total,1092.0,115.0,1.0,287.0,0.0,33.0,0.0,3.0,653.0,110/05
歐洲合計 Total,1201.0,359.0,9.0,66.0,0.0,9.0,1.0,1.0,756.0,110/05
大洋洲合計 Total,62.0,3.0,0.0,11.0,0.0,1.0,0.0,3.0,44.0,110/05
非洲合計 Total,45.0,10.0,0.0,3.0,0.0,1.0,0.0,0.0,31.0,110/05
亞洲合計 Total,15406.0,914.0,12.0,442.0,3.0,575.0,1.0,52.0,13407.0,110/03
美洲合計 Total,1097.0,218.0,6.0,257.0,2.0,15.0,1.0,0.0,598.0,110/03
歐洲合計 Total,1572.0,698.0,6.0,85.0,4.0,17.0,2.0,1.0,759.0,110/03
大洋洲合計 Total,225.0,26.0,1.0,14.0,3.0,0.0,0.0,87.0,94.0,110/03
非洲合計 Total,83.0,21.0,0.0,5.0,0.0,5.0,0.0,0.0,52.0,110/03
亞洲合計 Total,10987.0,771.0,12.0,476.0,5.0,32.0,0.0,42.0,9649.0,110/01
美洲合計 Total,1833.0,198.0,4.0,506.0,1.0,11.0,1.0,11.0,1101.0,110/01
歐洲合計 Total,1666.0,523.0,10.0,180.0,0.0,15.0,2.0,0.0,936.0,110/01
大洋洲合計 Total,106.0,12.0,0.0,15.0,0.0,0.0,0.0,23.0,56.0,110/01
非洲合計 Total,63.0,10.0,0.0,8.0,0.0,1.0,0.0,0.0,44.0,110/01
亞洲合計 Total,10470.0,797.0,9.0,276.0,2.0,88.0,2.0,21.0,9275.0,110/02
美洲合計 Total,911.0,212.0,6.0,186.0,1.0,28.0,1.0,0.0,477.0,110/02
歐洲合計 Total,1115.0,471.0,3.0,78.0,2.0,16.0,1.0,0.0,544.0,110/02
大洋洲合計 Total,96.0,10.0,0.0,9.0,0.0,0.0,0.0,29.0,48.0,110/02
非洲合計 Total,62.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,49.0,110/02
亞洲合計 Total,4811.0,255.0,0.0,63.0,0.0,117.0,0.0,30.0,4346.0,110/08
美洲合計 Total,1257.0,58.0,1.0,31.0,0.0,5.0,0.0,3.0,1159.0,110/08
歐洲合計 Total,1622.0,194.0,0.0,21.0,0.0,101.0,0.0,2.0,1304.0,110/08
大洋洲合計 Total,136.0,4.0,0.0,2.0,0.0,0.0,0.0,77.0,53.0,110/08
非洲合計 Total,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,110/08
亞洲合計 Total,18576.0,882.0,6.0,905.0,7.0,74.0,2.0,144.0,16556.0,109/12
美洲合計 Total,1550.0,147.0,7.0,626.0,1.0,5.0,1.0,7.0,756.0,109/12
歐洲合計 Total,998.0,205.0,7.0,199.0,2.0,15.0,0.0,3.0,567.0,109/12
大洋洲合計 Total,116.0,15.0,0.0,22.0,0.0,0.0,0.0,23.0,56.0,109/12
非洲合計 Total,118.0,18.0,0.0,20.0,0.0,6.0,0.0,0.0,74.0,109/12
亞洲合計 Total,17456.0,985.0,17.0,745.0,3.0,206.0,9.0,76.0,15415.0,109/11
美洲合計 Total,1938.0,257.0,4.0,633.0,13.0,7.0,1.0,7.0,1016.0,109/11
歐洲合計 Total,1478.0,593.0,5.0,159.0,2.0,8.0,4.0,1.0,706.0,109/11
大洋洲合計 Total,142.0,12.0,0.0,8.0,0.0,0.0,0.0,34.0,88.0,109/11
非洲合計 Total,100.0,17.0,0.0,12.0,0.0,2.0,0.0,0.0,69.0,109/11
亞洲合計 Total,20115.0,793.0,23.0,551.0,7.0,6843.0,2.0,51.0,11845.0,109/09
美洲合計 Total,1476.0,194.0,3.0,345.0,18.0,47.0,1.0,7.0,861.0,109/09
